country,code,primary_public_route,route_type,status,history_evidence,critical_fields_verified,live_adapter,blocker_next_action
Austria,AT,https://issuerinfo.oekb.at/,issuer/OAM,publication_route_confirmed,pre-MAR FMA archive and current intervals unmeasured,no,no,"Identify Article 19 category and varied current samples"
Belgium,BE,https://www.fsma.be/en/transaction-search,dedicated register,publication_route_confirmed,unmeasured,no,no,"Verify stable search/export contract and revision timestamps"
Switzerland,CH,https://www.ser-ag.com/en/resources/notifications-market-participants/management-transactions.html,dedicated JSON register,live_verified,"three-year public availability; live 01-08 Sep 2026 sample","36 anonymous current events with exact count pagination, transaction/security/role codes, CHF price/quantity/value and corrections",yes,"Independently audit 50 observations and resolve reuse terms"
Germany,DE,https://portal.mvp.bafin.de/database/DealingsInfo/,recent register plus official archive,adapter_tested,"12-month BaFin display; Unternehmensregister sample on 19 Dec 2016","20 BaFin events plus 27 repeat-stable archive publications; stable archive jobNumber identity; German/English templates; ambiguous archive aggregates excluded",yes,"Independently audit 50 observations and broaden the archive sample"
Denmark,DK,https://oam.finanstilsynet.dk/#!/search,official OAM JSON plus attachments,adapter_tested,"8,829 category records observed to May 2015; sample 06-08 Sep 2026","6 events from 7 stable announcements; English/Danish forms; PCA; exact price/quantity or aggregate consideration; one missing-form quarantine",yes,"Broaden layout sample and resolve evidence gap 300014006"
Spain,ES,https://www.cnmv.es/portal/Consultas/BusquedaPorEntidad.aspx?lang=en,issuer search,discovered,current/legacy split unmeasured,no,no,"Find global date-ordered route and linked details"
Finland,FI,https://oam.fi/,Nasdaq-operated statutory OAM,publication_route_confirmed,"25,558 category-66 rows observed from 08 Jul 2016 through 08 Sep 2026","OAM/Nasdaq scope reconciliation verified; automation not enabled due explicit no-capture terms",no,"Obtain written Nasdaq permission or licensed feed"
France,FR,https://bdif.amf-france.org/en,official document database,live_verified,"daily partitioned live 06-08 Sep 2026 sample; unbounded API caps at 10000","43 PDFs repeat-stable; 61 current transaction events; bilingual PDFs, fills/aggregates, PCA and malformed-LEI quarantine policy",yes,"Independently audit 50 observations and validate real correction linkage"
United Kingdom,GB,https://data.fca.org.uk/#/nsm/nationalstoragemechanism,NSM plus PIP/RIS,publication_route_confirmed,2009 migration map documented,no,no,"Validate PIP/NSM completeness and licensed automation rights"
Greece,GR,https://www.athexgroup.gr/en/market-data/trade-notifications,transaction page,publication_route_confirmed,legacy continuity unmeasured,no,no,"Validate Greek/English samples and archive continuity"
Ireland,IE,https://csm.centralbank.ie/,storage mechanism,discovered,unmeasured,no,no,"Confirm public CSM transaction discovery per market segment"
Italy,IT,https://www.consob.it/web/area-pubblica/internal-dealing,regulator page,discovered,unmeasured,no,no,"Access challenge; validate eMarket/1INFO issuer routing"
Netherlands,NL,https://www.afm.nl/en/sector/registers/meldingenregisters/transacties-leidinggevenden-mar19-,dedicated XML/detail register,live_verified,"records observed from 31 Dec 2005; live and scheduled samples through 09 Sep 2026","41 current events; initial 18-notification sample replayed unchanged; one PCA; localized exact decimals",yes,"Independently audit 50 observations and determine correction/removal semantics"
Norway,NO,https://newsweb.oslobors.no/,announcement feed,adapter_tested,"live interval through 09 Sep 2026; stable saved-byte replay","52 current events across KRT/MAR/AFM/multi-action layouts; 2 evidence-incomplete records remain quarantined",yes,"Obtain missing forms/date evidence for 681380 and 681718; independently audit 50 observations"
Poland,PL,https://www.gpw.pl/espi-ebi-reports,ESPI/EBI announcement feed,publication_route_confirmed,unmeasured,no,no,"Validate main/NewConnect feeds and Article 19 attachments"
Portugal,PT,https://www.cmvm.pt/PInstitucional/ContentSDI,SDI document system,discovered,unmeasured,no,no,"Resolve JavaScript retrieval contract and transaction category"
Sweden,SE,https://marknadssok.fi.se/Publiceringsklient/sv-SE/Search/Start/Insyn,dedicated register,adapter_tested,"03 Jul 2016 onward; older stored to 1995; live 07-09 Sep sample complete","113 current groups; 111 reconcile official aggregates and 2 are detail-only; daily date partitioning and measured search/detail pacing; PCA details retained",yes,"Expand historical backfill slowly and independently audit 50 observations"
